variety,yield_bu_ac,test_weight_lb_bu,protein_pct,height_in,maturity_days,trial_name,trial_year,location,wheat_class,planted_date,harvested_date,source,source_url
Norwest Tandem,76,60.9,11.2,25,143,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
VI Frost,76,61.6,12.4,31,148,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
WB1621,76,61.7,11.3,31,144,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
LWWA19-0294,76,61.5,12.4,30,143,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
AP Olympia,75,60.9,11.8,30,146,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
AP Exceed,75,60.4,11.3,30,144,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
Norwest Duet,75,60,11.8,33,152,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
UIL14-211120A,75,59,12.3,30,147,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
YSC-93,75,60.5,11.6,29,145,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
Nimbus,74,60.2,12.1,31,145,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
LWW20-3371,74,60.8,11.9,24,143,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
WA8404,74,58.9,11.8,30,146,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
LCS Artdeco,73,59.2,11.3,27,144,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
AP Iliad,73,60.2,11.7,29,145,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
UIL17-995133B,73,61.8,10.7,28,144,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
